user_id,num_tabs
0,0
0,1
0,2
0,3
0,4
0,5
0,6
1,0
1,1
1,2
4,0
4,1
4,2
4,3
6,0
6,1
6,2
9,0
9,1
9,2
12,0
12,1
12,2
14,0
14,1
14,2
14,3
14,4
14,5
17,0
17,1
17,2
17,3
18,0
18,1
19,0
19,1
19,2
21,0
21,1
21,2
21,3
24,0
24,1
24,2
24,3
25,0
25,1
25,2
25,3
25,4
25,5
25,6
29,0
29,1
29,2
29,3
29,4
29,5
29,6
29,7
29,8
30,1
32,6
32,7
32,8
32,9
32,10
34,0
34,1
34,2
34,3
34,4
34,5
34,6
35,0
35,1
36,0
36,1
36,2
36,3
36,4
41,0
41,1
42,4
42,5
42,6
44,10
44,11
45,0
45,1
45,2
45,3
45,4
45,5
45,6
45,7
47,0
47,1
47,2
47,3
47,4
47,5
47,6
47,7
47,8
47,9
47,10
47,11
48,1
48,2
49,0
49,1
49,2
49,3
50,0
50,1
51,0
51,1
51,2
51,3
51,4
51,5
51,6
53,0
53,1
53,2
53,3
53,4
55,0
55,1
55,2
56,0
56,1
59,0
59,1
59,2
59,3
59,4
59,5
59,6
60,0
60,1
60,2
60,3
60,4
60,5
61,0
61,1
61,2
61,3
61,4
63,0
63,1
63,2
70,0
70,1
70,2
70,3
70,4
70,5
70,6
70,7
70,8
70,9
70,10
71,0
71,7
71,8
71,9
72,0
72,1
72,2
72,3
72,4
73,1
75,4
76,0
76,1
79,16
81,0
81,3
82,0
82,1
82,2
82,3
82,4
82,5
84,0
84,1
84,2
84,3
84,4
84,5
85,0
85,1
85,2
85,3
88,0
88,1
88,2
88,3
88,4
88,5
89,1
90,0
90,1
90,2
90,3
93,0
93,1
93,2
97,0
97,1
97,2
97,3
101,2
102,1
102,12
102,13
103,2
103,3
103,4
103,5
103,6
103,7
103,8
103,9
103,10
103,11
103,12
104,0
104,1
104,2
104,3
108,0
108,5
108,6
108,7
108,8
114,1
115,0
117,0
117,1
117,2
117,3
118,0
118,1
118,2
118,3
118,4
118,5
119,1
119,2
119,3
122,0
122,1
123,0
123,1
123,2
123,3
123,4
123,5
123,6
123,7
123,8
123,9
123,10
123,11
126,0
126,1
126,2
126,3
126,4
126,5
126,6
126,7
126,8
128,0
128,1
128,2
128,3
128,4
129,0
129,2
130,0
130,1
130,2
131,0
131,1
132,0
132,1
132,2
132,3
133,0
133,1
133,2
133,3
135,0
135,4
135,5
135,6
135,7
135,8
135,9
135,10
135,11
136,2
137,0
137,1
141,1
141,2
141,3
143,3
143,4
143,5
143,6
143,7
143,8
143,9
143,10
143,11
143,12
143,13
143,14
143,15
143,16
143,17
144,1
144,2
144,3
144,4
144,5
146,0
146,1
146,2
146,3
147,1
147,2
147,3
147,4
147,5
147,6
148,12
150,0
150,1
152,0
152,1
152,2
152,3
152,4
152,5
152,6
154,0
154,1
160,0
160,87
160,88
160,89
160,90
160,91
160,92
163,0
163,1
163,2
163,3
163,4
163,5
163,6
164,2
164,3
164,4
165,1
165,2
165,3
167,1
167,2
169,0
169,6
169,8
169,9
169,10
169,11
169,17
169,19
169,20
169,21
169,22
170,0
170,1
170,2
170,3
170,4
170,5
171,0
171,1
171,2
171,3
171,4
171,5
174,0
174,1
174,2
174,3
176,0
176,1
176,2
179,0
179,1
179,2
179,3
179,4
179,5
179,6
179,7
179,8
179,9
180,0
180,1
180,2
182,0
182,1
182,2
183,0
183,1
183,2
184,0
184,1
184,2
184,3
184,4
189,1
189,40
189,41
189,42
189,43
189,44
189,45
189,46
189,47
189,48
189,49
189,50
189,51
189,52
189,53
189,54
190,0
190,1
190,2
190,3
190,4
190,5
190,6
193,3
194,6
194,7
196,1
196,2
196,3
199,2
199,3
199,4
200,0
200,1
200,2
200,3
200,4
201,0
201,1
201,2
201,3
201,4
204,0
204,1
205,0
205,1
206,0
206,1
206,7
206,10
206,11
206,12
206,13
207,0
207,1
207,2
208,0
208,1
208,2
210,2
210,3
210,4
211,0
211,1
211,2
211,3
211,4
211,5
212,0
212,1
212,2
212,3
213,0
213,1
213,2
213,3
213,4
213,5
215,0
215,1
215,2
215,3
215,4
215,5
215,6
216,0
216,1
216,2
216,3
216,4
216,5
216,6
216,7
216,8
217,0
217,1
219,1
219,2
219,3
222,0
222,1
222,2
222,3
222,4
222,5
222,6
222,7
223,0
223,1
223,2
223,3
223,4
223,5
223,6
223,7
223,8
